,"Accelerating, revving, vroom",Aircraft,Dog,Emergency vehicle,"Gunshot, gunfire",Motor vehicle (road),Motorcycle,Police car (siren),Tools
2021-05-08 06:10:14.128000+00:00,,,,,,0.1764489710330963,,,
2021-05-08 06:10:29.180000+00:00,,,,,,0.19886252284049988,,,
2021-05-08 06:10:44.227000+00:00,,,,0.28848403692245483,,,,0.1640368103981018,
2021-05-08 06:10:59.266000+00:00,,,,,,0.1254306137561798,,,
2021-05-08 06:11:14.284000+00:00,,,,,,0.17023518681526184,,,
2021-05-08 06:11:29.344000+00:00,,,,,,0.1261405348777771,,,
2021-05-08 06:11:44.375000+00:00,0.10328584909439087,,,,,0.11581146717071533,,,
2021-05-08 06:11:59.411000+00:00,,,,,,0.13201111555099487,,,
2021-05-08 06:12:14.460000+00:00,,,0.11820446699857712,,,0.13728463649749756,,,
2021-05-08 06:12:29.519000+00:00,,0.13380983471870422,,,,0.13338413834571838,,,
2021-05-08 06:12:44.530000+00:00,,,,,,0.2360527217388153,,,
2021-05-08 06:12:59.614000+00:00,,,0.11373160034418106,,,,,,
